State,County,PVCZ,Independent City
NC,Northampton,T8:H4,No
NC,Onslow,T8:H4,No
NC,Orange,T8:H4,No
NC,Pamlico,T8:H4,No
NC,Pasquotank,T7:H4,No
NC,Pender,T8:H4,No
NC,Perquimans,T8:H4,No
NC,Person,T8:H4,No
NC,Pitt,T8:H4,No
NC,Polk,T8:H4,No
NC,Randolph,T8:H4,No
NC,Richmond,T8:H4,No
NC,Robeson,T8:H4,No
NC,Rockingham,T8:H4,No
NC,Rowan,T8:H4,No
NC,Rutherford,T8:H4,No
NC,Sampson,T8:H4,No
NC,Scotland,T8:H4,No
NC,Stanly,T8:H4,No
NC,Stokes,T8:H4,No
NC,Surry,T8:H4,No
NC,Swain,T8:H4,No
NC,Transylvania,T7:H4,No
NC,Tyrrell,T8:H4,No
NC,Union,T8:H4,No
NC,Vance,T8:H4,No
NC,Wake,T8:H4,No
NC,Warren,T8:H4,No
NC,Washington,T8:H4,No
NC,Watauga,T7:H4,No
NC,Wayne,T8:H4,No
NC,Wilkes,T8:H4,No
NC,Wilson,T8:H4,No
NC,Yadkin,T8:H4,No
NC,Yancey,T7:H4,No
NJ,Atlantic,T7:H4,No
NJ,Bergen,T7:H4,No
NJ,Burlington,T7:H4,No
NJ,Camden,T7:H4,No
NJ,Cape May,T7:H4,No
NJ,Cumberland,T7:H4,No
NJ,Essex,T7:H4,No
NJ,Gloucester,T7:H4,No
NJ,Hudson,T7:H4,No
NJ,Hunterdon,T7:H4,No
NJ,Mercer,T7:H4,No
NJ,Middlesex,T7:H4,No
NJ,Monmouth,T7:H4,No
NJ,Morris,T7:H4,No
NJ,Ocean,T7:H4,No
NJ,Passaic,T7:H4,No
NJ,Salem,T7:H4,No
NJ,Somerset,T7:H4,No
NJ,Sussex,T7:H4,No
NJ,Union,T7:H4,No
NJ,Warren,T7:H4,No
PA,Adams,T7:H4,No
PA,Allegheny,T7:H4,No
PA,Armstrong,T7:H4,No
PA,Beaver,T7:H4,No
PA,Bedford,T7:H4,No
PA,Berks,T7:H4,No
PA,Blair,T7:H4,No
PA,Bradford,T6:H4,No
PA,Bucks,T7:H4,No
PA,Butler,T7:H4,No
PA,Cambria,T6:H4,No
PA,Cameron,T6:H4,No
PA,Carbon,T6:H4,No
PA,Centre,T6:H4,No
PA,Chester,T7:H4,No
PA,Clarion,T7:H4,No
PA,Clearfield,T6:H4,No
PA,Clinton,T6:H4,No
PA,Columbia,T6:H4,No
PA,Crawford,T7:H4,No
PA,Cumberland,T7:H4,No
PA,Dauphin,T7:H4,No
PA,Delaware,T7:H4,No
PA,Elk,T6:H4,No
PA,Erie,T6:H4,No
PA,Fayette,T7:H4,No
PA,Forest,T6:H4,No
PA,Franklin,T7:H4,No
PA,Fulton,T7:H4,No
PA,Greene,T7:H4,No
PA,Huntingdon,T7:H4,No
PA,Indiana,T7:H4,No
PA,Jefferson,T7:H4,No
PA,Juniata,T7:H4,No
PA,Lackawanna,T6:H4,No
PA,Lancaster,T7:H4,No
PA,Lawrence,T7:H4,No
PA,Lebanon,T7:H4,No
PA,Lehigh,T7:H4,No
PA,Luzerne,T6:H4,No
PA,Lycoming,T6:H4,No
PA,McKean,T6:H4,No
PA,Mercer,T7:H4,No
PA,Mifflin,T7:H4,No
PA,Monroe,T6:H4,No
PA,Montgomery,T7:H4,No
PA,Montour,T7:H4,No
PA,Northampton,T7:H4,No
PA,Northumberland,T7:H4,No
PA,Perry,T7:H4,No
PA,Philadelphia,T7:H4,No
PA,Pike,T7:H4,No
PA,Potter,T6:H4,No
PA,Schuylkill,T6:H4,No
PA,Snyder,T7:H4,No
PA,Somerset,T6:H4,No
PA,Sullivan,T6:H4,No
PA,Susquehanna,T6:H4,No
PA,Tioga,T6:H4,No
PA,Union,T6:H4,No
PA,Venango,T7:H4,No
PA,Warren,T6:H4,No
PA,Washington,T7:H4,No
PA,Wayne,T6:H4,No
PA,Westmoreland,T7:H4,No
PA,Wyoming,T6:H4,No
PA,York,T7:H4,No
VA,Accomack,T7:H4,No
VA,Albemarle,T8:H4,No
VA,Alleghany,T7:H4,No
VA,Amelia,T8:H4,No
VA,Amherst,T7:H4,No
VA,Appomattox,T8:H4,No
VA,Arlington,T7:H4,No
VA,Augusta,T7:H4,No
VA,Bath,T7:H4,No
VA,Bedford,T7:H4,No
VA,Bland,T7:H4,No
VA,Botetourt,T7:H4,No
VA,Brunswick,T8:H4,No
VA,Buchanan,T7:H4,No
VA,Buckingham,T8:H4,No
VA,Campbell,T8:H4,No
VA,Caroline,T8:H4,No
VA,Carroll,T7:H4,No
VA,Charles City,T8:H4,No
VA,Charlotte,T8:H4,No
VA,Chesterfield,T8:H4,No
VA,Clarke,T7:H4,No
VA,Craig,T7:H4,No
VA,Culpeper,T8:H4,No
VA,Cumberland,T8:H4,No
VA,Dickenson,T7:H4,No
VA,Dinwiddie,T8:H4,No
VA,Essex,T8:H4,No
VA,Fairfax,T8:H4,No
VA,Fauquier,T8:H4,No
VA,Floyd,T7:H4,No
VA,Fluvanna,T8:H4,No
VA,Franklin,T8:H4,No
VA,Frederick,T7:H4,No
VA,Giles,T7:H4,No
VA,Gloucester,T8:H4,No
VA,Goochland,T8:H4,No
VA,Grayson,T7:H4,No
VA,Greene,T7:H4,No
VA,Greensville,T8:H4,No
VA,Halifax,T8:H4,No
VA,Hanover,T8:H4,No
VA,Henrico,T8:H4,No
VA,Henry,T8:H4,No
VA,Highland,T6:H4,No
VA,Isle of Wight,T8:H4,No
VA,James City,T8:H4,No
VA,King and Queen,T8:H4,No
VA,King George,T8:H4,No
VA,King William,T8:H4,No
VA,Lancaster,T8:H4,No
VA,Lee,T7:H4,No
VA,Loudoun,T7:H4,No
VA,Louisa,T8:H4,No
VA,Lunenburg,T8:H4,No
VA,Madison,T7:H4,No
VA,Mathews,T7:H4,No
VA,Mecklenburg,T8:H4,No
VA,Middlesex,T8:H4,No
VA,Montgomery,T7:H4,No
VA,Nelson,T7:H4,No
VA,New Kent,T8:H4,No
VA,Northampton,T7:H4,No
VA,Northumberland,T7:H4,No
VA,Nottoway,T8:H4,No
VA,Orange,T7:H4,No
VA,Page,T7:H4,No
VA,Patrick,T7:H4,No
VA,Pittsylvania,T8:H4,No
VA,Powhatan,T8:H4,No
VA,Prince Edward,T8:H4,No
VA,Prince George,T8:H4,No
VA,Prince William,T8:H4,No
VA,Pulaski,T7:H4,No
VA,Rappahannock,T7:H4,No
VA,Richmond,T8:H4,No
VA,Roanoke,T7:H4,No
VA,Rockbridge,T7:H4,No
VA,Rockingham,T7:H4,No
VA,Russell,T7:H4,No
VA,Scott,T8:H4,No
VA,Shenandoah,T7:H4,No
VA,Smyth,T7:H4,No
VA,Southampton,T8:H4,No
VA,Spotsylvania,T8:H4,No
VA,Stafford,T8:H4,No
VA,Surry,T8:H4,No
VA,Sussex,T8:H4,No
VA,Tazewell,T7:H4,No
VA,Warren,T7:H4,No
VA,Washington,T7:H4,No
VA,Westmoreland,T8:H4,No
VA,Wise,T7:H4,No
VA,Wythe,T7:H4,No
VA,York,T8:H4,No
VA,Alexandria,T7:H4,Yes
VA,Bedford,T7:H4,Yes
VA,Bristol,T7:H4,Yes
VA,Buena Vista,T7:H4,Yes
VA,Charlottesville,T8:H4,Yes
VA,Chesapeake,T7:H4,Yes
VA,Colonial Heights,T8:H4,Yes
VA,Covington,T7:H4,Yes
VA,Danville,T8:H4,Yes
VA,Emporia,T8:H4,Yes
VA,Fairfax,T8:H4,Yes
VA,Falls Church,T7:H4,Yes
VA,Franklin,T8:H4,Yes
VA,Fredericksburg,T8:H4,Yes
VA,Galax,T7:H4,Yes
VA,Hampton,T7:H4,Yes
VA,Harrisonburg,T7:H4,Yes
VA,Hopewell,T8:H4,Yes
VA,Lexington,T7:H4,Yes
VA,Lynchburg,T8:H4,Yes
VA,Manassas,T8:H4,Yes
VA,Manassas Park,T8:H4,Yes
VA,Martinsville,T8:H4,Yes
VA,Newport News,T8:H4,Yes
VA,Norfolk,T7:H4,Yes
VA,Norton,T7:H4,Yes
VA,Petersburg,T8:H4,Yes
VA,Poquoson,T7:H4,Yes
VA,Portsmouth,T7:H4,Yes
VA,Radford,T7:H4,Yes
VA,Richmond,T8:H4,Yes
VA,Roanoke,T7:H4,Yes
VA,Salem,T7:H4,Yes
VA,Staunton,T7:H4,Yes
VA,Suffolk,T7:H4,Yes
VA,Virginia Beach,T7:H4,Yes
VA,Waynesboro,T7:H4,Yes
VA,Williamsburg,T8:H4,Yes
VA,Winchester,T7:H4,Yes
WV,Barbour,T7:H4,No
WV,Berkeley,T7:H4,No
WV,Boone,T7:H4,No
WV,Braxton,T7:H4,No
WV,Brooke,T7:H4,No
WV,Cabell,T7:H4,No
WV,Calhoun,T7:H4,No
WV,Clay,T7:H4,No
WV,Doddridge,T7:H4,No
WV,Fayette,T7:H4,No
WV,Gilmer,T7:H4,No
WV,Grant,T7:H4,No
WV,Greenbrier,T7:H4,No
WV,Hampshire,T7:H4,No
WV,Hancock,T7:H4,No
WV,Hardy,T7:H4,No
WV,Harrison,T7:H4,No
WV,Jackson,T7:H4,No
WV,Jefferson,T7:H4,No
WV,Kanawha,T7:H4,No
WV,Lewis,T7:H4,No
WV,Lincoln,T7:H4,No
WV,Logan,T7:H4,No
WV,Marion,T7:H4,No
WV,Marshall,T7:H4,No
WV,Mason,T7:H4,No
WV,McDowell,T7:H4,No
WV,Mercer,T7:H4,No
WV,Mineral,T7:H4,No
WV,Mingo,T7:H4,No
WV,Monongalia,T7:H4,No
WV,Monroe,T7:H4,No
WV,Morgan,T7:H4,No
WV,Nicholas,T7:H4,No
WV,Ohio,T7:H4,No
WV,Pendleton,T7:H4,No
WV,Pleasants,T7:H4,No
WV,Pocahontas,T6:H4,No
WV,Preston,T7:H4,No
WV,Putnam,T7:H4,No
WV,Raleigh,T7:H4,No
WV,Randolph,T6:H4,No
WV,Ritchie,T7:H4,No
WV,Roane,T7:H4,No
WV,Summers,T7:H4,No
WV,Taylor,T7:H4,No
WV,Tucker,T6:H4,No
WV,Tyler,T7:H4,No
WV,Upshur,T7:H4,No
WV,Wayne,T7:H4,No
WV,Webster,T7:H4,No
WV,Wetzel,T7:H4,No
WV,Wirt,T7:H4,No
WV,Wood,T7:H4,No
WV,Wyoming,T7:H4,No
